paragraph_id,article_id,paragraph_text
beverlyhillscop_paragraph_0000001,1461,Welcome to the Beverly Hills Cop Wiki!
beverlyhillscop_paragraph_0000002,1461,Movies
beverlyhillscop_paragraph_0000003,1461,Characters
beverlyhillscop_paragraph_0000004,1461,"Check out the community portal to see what the community is working on, to give feedback or just to say hi."
beverlyhillscop_paragraph_0000005,1461,"If you're new to Fandom, please use the above links to get started.
If you already have editing experience, and you have an article relating to Beverly Hills Cop create it! Spam or fanon articles will be deleted, however. Before creating an article, make sure it already doesn't exist."
beverlyhillscop_paragraph_0000001,2054,"Beverly Hills Cop Franchise




The films released in a boxset, Beverly Hills Cop: The Complete Line Up


Film information

Stars
Eddie Murphy


Release date
December 5, 1984-July 3,2024


Rating
R"
beverlyhillscop_paragraph_0000002,2054,Beverly Hills Cop is a series of action-comedy films produced between 1984 and 2024.
beverlyhillscop_paragraph_0000003,2054,"The film series focuses on Axel Foley (Eddie Murphy), a street smart, wisecracking Detriot detective who finds himself investigating cases and murders in Beverly Hills, California. He partners with Beverly Hills Police Department officers Detective Billy Rosewood (Judge Reinhold), Sergeant John Taggart (John Ashton), and others during his time in Beverly Hills."
beverlyhillscop_paragraph_0000004,2054,"The series started in 1984 with the release of Beverly Hills Cop, which produced two sequels. The third film was not well received critically, amongst fans, or by Murphy himself. The three films grossed $735,534,503 worldwide. Over twenty years later, Netflix revived the franchise with a fourth film titled, Beverly Hills Cop: Axel F."
beverlyhillscop_paragraph_0000005,2054,"After his childhood buddy is murdered while visiting Detroit, rebellious cop Axel Foley (Eddie Murphy) follows the leads to Beverly Hills, Calif., under the auspices of a vacation. He checks in with old friend Jenny Summers (Lisa Eilbacher) and starts to believe her boss, art dealer Victor Maitland (Steven Berkoff), might somehow be involved in the murder. However, Lt. Bogomil (Ronny Cox) of the Beverly Hills Police Department does not trust Foley, and hinders his search for evidence."
