timestamp,domain,retriever,reranker,stage,version,corpus_representation,corpus_granularity,query_context_mode,anchor_preprocessing,n_queries,n_articles,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_20,recall_at_50,recall_at_100,mrr,notes
2026-02-28 03:33:25,money-heist,bm25,,retrieval,1,title_full,article,anchor_sentence,raw,1000,267,0.068,0.148,0.179,0.252,0.338,0.483,0.681,0.133,
2026-02-28 03:33:25,money-heist,bm25,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,1,title_full,article,anchor_sentence,raw,1000,267,0.152,0.175,0.179,0.179,0.179,0.179,0.179,0.1642,
2026-02-28 03:33:25,money-heist,bm25,,retrieval,2,title_full,article,anchor_sentence,raw,1000,267,0.048,0.069,0.075,0.148,0.263,0.373,0.572,0.0834,
2026-02-28 03:33:25,money-heist,bm25,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,2,title_full,article,anchor_sentence,raw,1000,267,0.067,0.071,0.075,0.075,0.075,0.075,0.075,0.0697,
2026-02-28 03:33:25,money-heist,bm25,,retrieval,3,title_full,article,anchor_sentence,raw,1000,267,0.067,0.142,0.178,0.258,0.34,0.473,0.683,0.1319,
2026-02-28 03:33:25,money-heist,bm25,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,3,title_full,article,anchor_sentence,raw,1000,267,0.08,0.148,0.178,0.178,0.178,0.178,0.178,0.116,
2026-02-28 03:33:25,money-heist,bm25,,retrieval,4,title_full,article,anchor_sentence,raw,1000,267,0.071,0.144,0.176,0.247,0.33,0.476,0.674,0.1335,
2026-02-28 03:33:26,money-heist,bm25,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,4,title_full,article,anchor_sentence,raw,1000,267,0.153,0.171,0.176,0.176,0.176,0.176,0.176,0.1626,
2026-02-28 03:33:26,money-heist,bm25,,retrieval,5,title_full,article,anchor_sentence,raw,1000,267,0.037,0.052,0.054,0.076,0.159,0.349,0.573,0.0598,
2026-02-28 03:33:26,money-heist,bm25,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,5,title_full,article,anchor_sentence,raw,1000,267,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,
2026-02-28 03:33:26,money-heist,bm25,,retrieval,6,title_full,article,anchor_sentence,raw,1000,267,0.14,0.156,0.185,0.206,0.277,0.444,0.67,0.1703,
2026-02-28 03:33:26,money-heist,bm25,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,6,title_full,article,anchor_sentence,raw,1000,267,0.182,0.185,0.185,0.185,0.185,0.185,0.185,0.1835,
2026-02-28 03:33:26,money-heist,bm25,,retrieval,7,title_full,article,anchor_sentence,raw,1000,267,0.084,0.15,0.193,0.213,0.259,0.424,0.648,0.1346,
2026-02-28 03:33:27,money-heist,bm25,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,7,title_full,article,anchor_sentence,raw,1000,267,0.187,0.193,0.193,0.193,0.193,0.193,0.193,0.19,
2026-02-28 03:33:27,money-heist,bm25,,retrieval,8,title_full,article,anchor_sentence,raw,1000,267,0.033,0.134,0.19,0.231,0.294,0.406,0.556,0.0994,
2026-02-28 03:33:27,money-heist,bm25,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,8,title_full,article,anchor_sentence,raw,1000,267,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,
2026-02-28 03:33:27,money-heist,bm25,,retrieval,9,title_full,article,anchor_sentence,raw,1000,267,0.031,0.073,0.099,0.18,0.251,0.409,0.601,0.0791,
2026-02-28 03:33:27,money-heist,bm25,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,9,title_full,article,anchor_sentence,raw,1000,267,0.09,0.09,0.099,0.099,0.099,0.099,0.099,0.092,
2026-02-28 03:33:27,money-heist,bm25,,retrieval,10,title_full,article,anchor_sentence,raw,1000,267,0.039,0.052,0.057,0.069,0.124,0.348,0.629,0.0601,
2026-02-28 03:33:27,money-heist,bm25,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,10,title_full,article,anchor_sentence,raw,1000,267,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,
2026-02-28 03:33:28,money-heist,bm25,,retrieval,11,title_full,article,anchor_sentence,raw,1000,267,0.019,0.144,0.176,0.211,0.281,0.41,0.63,0.0859,
2026-02-28 03:33:28,money-heist,bm25,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,11,title_full,article,anchor_sentence,raw,1000,267,0.172,0.176,0.176,0.176,0.176,0.176,0.176,0.1735,
2026-02-28 03:33:28,money-heist,bm25,,retrieval,12,title_full,article,anchor_sentence,raw,1000,267,0.019,0.026,0.033,0.119,0.197,0.384,0.611,0.0479,
2026-02-28 03:33:28,money-heist,bm25,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,12,title_full,article,anchor_sentence,raw,1000,267,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,
2026-02-28 03:33:28,money-heist,bm25,,retrieval,13,title_full,article,anchor_sentence,raw,1000,267,0.027,0.16,0.172,0.209,0.26,0.399,0.627,0.1069,
2026-02-28 03:33:28,money-heist,bm25,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,13,title_full,article,anchor_sentence,raw,1000,267,0.168,0.172,0.172,0.172,0.172,0.172,0.172,0.17,
2026-02-28 03:33:29,money-heist,bm25,,retrieval,14,title_full,article,anchor_sentence,raw,1000,267,0.034,0.049,0.055,0.138,0.245,0.429,0.59,0.0678,
2026-02-28 03:33:29,money-heist,bm25,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,14,title_full,article,anchor_sentence,raw,1000,267,0.049,0.053,0.055,0.055,0.055,0.055,0.055,0.0508,
2026-02-28 03:33:29,money-heist,bm25,,retrieval,15,title_full,article,anchor_sentence,raw,1000,267,0.042,0.077,0.145,0.224,0.259,0.44,0.628,0.0922,
2026-02-28 03:33:29,money-heist,bm25,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,15,title_full,article,anchor_sentence,raw,1000,267,0.13,0.14,0.145,0.145,0.145,0.145,0.145,0.1347,
2026-02-28 03:33:29,money-heist,bm25,,retrieval,16,title_full,article,anchor_sentence,raw,1000,267,0.047,0.074,0.123,0.174,0.249,0.379,0.58,0.0877,
2026-02-28 03:33:29,money-heist,bm25,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,16,title_full,article,anchor_sentence,raw,1000,267,0.11,0.115,0.123,0.123,0.123,0.123,0.123,0.1142,
2026-02-28 03:33:30,money-heist,bm25,,retrieval,17,title_full,article,anchor_sentence,raw,1000,267,0.065,0.163,0.178,0.216,0.255,0.402,0.63,0.1296,
2026-02-28 03:33:30,money-heist,bm25,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,17,title_full,article,anchor_sentence,raw,1000,267,0.175,0.178,0.178,0.178,0.178,0.178,0.178,0.1765,
2026-02-28 03:33:30,money-heist,bm25,,retrieval,18,title_full,article,anchor_sentence,raw,1000,267,0.034,0.084,0.121,0.165,0.27,0.392,0.612,0.0797,
2026-02-28 03:33:30,money-heist,bm25,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,18,title_full,article,anchor_sentence,raw,1000,267,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.121,
2026-02-28 03:33:30,money-heist,bm25,,retrieval,19,title_full,article,anchor_sentence,raw,1000,267,0.034,0.049,0.127,0.194,0.277,0.425,0.599,0.0775,
2026-02-28 03:33:30,money-heist,bm25,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,19,title_full,article,anchor_sentence,raw,1000,267,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,
2026-02-28 03:33:31,money-heist,bm25,,retrieval,20,title_full,article,anchor_sentence,raw,1000,267,0.056,0.106,0.16,0.222,0.249,0.418,0.654,0.1081,
2026-02-28 03:33:31,money-heist,bm25,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,20,title_full,article,anchor_sentence,raw,1000,267,0.153,0.155,0.16,0.16,0.16,0.16,0.16,0.155,
2026-02-28 03:33:31,money-heist,bm25,,retrieval,21,title_full,article,anchor_sentence,raw,1000,267,0.075,0.121,0.157,0.232,0.292,0.414,0.564,0.1254,
2026-02-28 03:33:31,money-heist,bm25,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,21,title_full,article,anchor_sentence,raw,1000,267,0.155,0.157,0.157,0.157,0.157,0.157,0.157,0.1557,
2026-02-28 03:33:32,money-heist,bm25,,retrieval,22,title_full,article,anchor_sentence,raw,1000,267,0.069,0.14,0.182,0.251,0.326,0.478,0.671,0.1308,
2026-02-28 03:33:32,money-heist,bm25,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,22,title_full,article,anchor_sentence,raw,1000,267,0.157,0.175,0.182,0.182,0.182,0.182,0.182,0.1669,
2026-02-28 03:33:32,money-heist,bm25,,retrieval,23,title_full,article,anchor_sentence,raw,1000,267,0.07,0.139,0.18,0.249,0.33,0.481,0.679,0.1319,
2026-02-28 03:33:32,money-heist,bm25,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,23,title_full,article,anchor_sentence,raw,1000,267,0.158,0.175,0.18,0.18,0.18,0.18,0.18,0.1666,
2026-02-28 03:33:32,money-heist,bm25,,retrieval,24,title_full,article,anchor_sentence,raw,1000,267,0.022,0.052,0.06,0.123,0.226,0.373,0.656,0.0572,
2026-02-28 03:33:32,money-heist,bm25,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,24,title_full,article,anchor_sentence,raw,1000,267,0.059,0.06,0.06,0.06,0.06,0.06,0.06,0.0595,
2026-02-28 03:33:32,money-heist,tfidf,,retrieval,1,title_full,article,anchor_sentence,raw,1000,267,0.099,0.171,0.203,0.303,0.382,0.616,0.776,0.1658,
2026-02-28 03:33:33,money-heist,tfidf,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,1,title_full,article,anchor_sentence,raw,1000,267,0.155,0.199,0.203,0.203,0.203,0.203,0.203,0.1751,
2026-02-28 03:33:33,money-heist,tfidf,,retrieval,2,title_full,article,anchor_sentence,raw,1000,267,0.293,0.421,0.462,0.561,0.608,0.813,0.926,0.3811,
2026-02-28 03:33:33,money-heist,tfidf,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,2,title_full,article,anchor_sentence,raw,1000,267,0.449,0.46,0.462,0.462,0.462,0.462,0.462,0.4547,
2026-02-28 03:33:33,money-heist,tfidf,,retrieval,3,title_full,article,anchor_sentence,raw,1000,267,0.103,0.169,0.2,0.302,0.383,0.605,0.765,0.1667,
2026-02-28 03:33:33,money-heist,tfidf,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,3,title_full,article,anchor_sentence,raw,1000,267,0.09,0.169,0.2,0.2,0.2,0.2,0.2,0.1295,
2026-02-28 03:33:33,money-heist,tfidf,,retrieval,4,title_full,article,anchor_sentence,raw,1000,267,0.096,0.168,0.195,0.304,0.371,0.615,0.777,0.1627,
2026-02-28 03:33:33,money-heist,tfidf,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,4,title_full,article,anchor_sentence,raw,1000,267,0.158,0.192,0.195,0.195,0.195,0.195,0.195,0.173,
2026-02-28 03:33:34,money-heist,tfidf,,retrieval,5,title_full,article,anchor_sentence,raw,1000,267,0.304,0.412,0.474,0.526,0.642,0.681,0.779,0.3865,
2026-02-28 03:33:34,money-heist,tfidf,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,5,title_full,article,anchor_sentence,raw,1000,267,0.444,0.474,0.474,0.474,0.474,0.474,0.474,0.459,
2026-02-28 03:33:34,money-heist,tfidf,,retrieval,6,title_full,article,anchor_sentence,raw,1000,267,0.355,0.494,0.551,0.628,0.688,0.814,0.923,0.443,
2026-02-28 03:33:34,money-heist,tfidf,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,6,title_full,article,anchor_sentence,raw,1000,267,0.537,0.551,0.551,0.551,0.551,0.551,0.551,0.544,
2026-02-28 03:33:34,money-heist,tfidf,,retrieval,7,title_full,article,anchor_sentence,raw,1000,267,0.362,0.464,0.519,0.557,0.617,0.798,0.912,0.4346,
2026-02-28 03:33:34,money-heist,tfidf,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,7,title_full,article,anchor_sentence,raw,1000,267,0.493,0.516,0.519,0.519,0.519,0.519,0.519,0.5044,
2026-02-28 03:33:35,money-heist,tfidf,,retrieval,8,title_full,article,anchor_sentence,raw,1000,267,0.349,0.48,0.525,0.582,0.664,0.809,0.913,0.4383,
2026-02-28 03:33:35,money-heist,tfidf,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,8,title_full,article,anchor_sentence,raw,1000,267,0.482,0.523,0.525,0.525,0.525,0.525,0.525,0.5025,
2026-02-28 03:33:35,money-heist,tfidf,,retrieval,9,title_full,article,anchor_sentence,raw,1000,267,0.343,0.455,0.502,0.562,0.617,0.781,0.917,0.4213,
2026-02-28 03:33:35,money-heist,tfidf,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,9,title_full,article,anchor_sentence,raw,1000,267,0.475,0.493,0.502,0.502,0.502,0.502,0.502,0.4854,
2026-02-28 03:33:35,money-heist,tfidf,,retrieval,10,title_full,article,anchor_sentence,raw,1000,267,0.298,0.375,0.407,0.494,0.607,0.781,0.862,0.3615,
2026-02-28 03:33:35,money-heist,tfidf,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,10,title_full,article,anchor_sentence,raw,1000,267,0.402,0.407,0.407,0.407,0.407,0.407,0.407,0.4043,
2026-02-28 03:33:36,money-heist,tfidf,,retrieval,11,title_full,article,anchor_sentence,raw,1000,267,0.251,0.395,0.471,0.547,0.605,0.825,0.951,0.3575,
2026-02-28 03:33:36,money-heist,tfidf,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,11,title_full,article,anchor_sentence,raw,1000,267,0.463,0.47,0.471,0.471,0.471,0.471,0.471,0.4667,
2026-02-28 03:33:36,money-heist,tfidf,,retrieval,12,title_full,article,anchor_sentence,raw,1000,267,0.253,0.4,0.489,0.643,0.69,0.715,0.854,0.3589,
2026-02-28 03:33:36,money-heist,tfidf,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,12,title_full,article,anchor_sentence,raw,1000,267,0.468,0.489,0.489,0.489,0.489,0.489,0.489,0.4785,
2026-02-28 03:33:36,money-heist,tfidf,,retrieval,13,title_full,article,anchor_sentence,raw,1000,267,0.329,0.429,0.499,0.595,0.654,0.78,0.886,0.4104,
2026-02-28 03:33:36,money-heist,tfidf,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,13,title_full,article,anchor_sentence,raw,1000,267,0.488,0.499,0.499,0.499,0.499,0.499,0.499,0.4935,
2026-02-28 03:33:37,money-heist,tfidf,,retrieval,14,title_full,article,anchor_sentence,raw,1000,267,0.264,0.406,0.473,0.547,0.617,0.79,0.871,0.3658,
2026-02-28 03:33:37,money-heist,tfidf,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,14,title_full,article,anchor_sentence,raw,1000,267,0.462,0.465,0.473,0.473,0.473,0.473,0.473,0.4652,
2026-02-28 03:33:37,money-heist,tfidf,,retrieval,15,title_full,article,anchor_sentence,raw,1000,267,0.2,0.4,0.447,0.494,0.554,0.776,0.865,0.3167,
2026-02-28 03:33:37,money-heist,tfidf,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,15,title_full,article,anchor_sentence,raw,1000,267,0.418,0.439,0.447,0.447,0.447,0.447,0.447,0.4301,
2026-02-28 03:33:37,money-heist,tfidf,,retrieval,16,title_full,article,anchor_sentence,raw,1000,267,0.255,0.405,0.453,0.518,0.6,0.732,0.861,0.3511,
2026-02-28 03:33:37,money-heist,tfidf,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,16,title_full,article,anchor_sentence,raw,1000,267,0.438,0.445,0.453,0.453,0.453,0.453,0.453,0.4435,
2026-02-28 03:33:38,money-heist,tfidf,,retrieval,17,title_full,article,anchor_sentence,raw,1000,267,0.332,0.437,0.51,0.589,0.671,0.836,0.933,0.4161,
2026-02-28 03:33:38,money-heist,tfidf,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,17,title_full,article,anchor_sentence,raw,1000,267,0.5,0.506,0.51,0.51,0.51,0.51,0.51,0.5039,
2026-02-28 03:33:38,money-heist,tfidf,,retrieval,18,title_full,article,anchor_sentence,raw,1000,267,0.221,0.296,0.354,0.526,0.599,0.724,0.815,0.3013,
2026-02-28 03:33:38,money-heist,tfidf,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,18,title_full,article,anchor_sentence,raw,1000,267,0.334,0.354,0.354,0.354,0.354,0.354,0.354,0.3437,
2026-02-28 03:33:38,money-heist,tfidf,,retrieval,19,title_full,article,anchor_sentence,raw,1000,267,0.296,0.451,0.481,0.537,0.605,0.789,0.938,0.3861,
2026-02-28 03:33:38,money-heist,tfidf,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,19,title_full,article,anchor_sentence,raw,1000,267,0.473,0.479,0.481,0.481,0.481,0.481,0.481,0.4763,
2026-02-28 03:33:39,money-heist,tfidf,,retrieval,20,title_full,article,anchor_sentence,raw,1000,267,0.351,0.461,0.516,0.561,0.662,0.814,0.92,0.4288,
2026-02-28 03:33:39,money-heist,tfidf,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,20,title_full,article,anchor_sentence,raw,1000,267,0.491,0.508,0.516,0.516,0.516,0.516,0.516,0.5,
2026-02-28 03:33:39,money-heist,tfidf,,retrieval,21,title_full,article,anchor_sentence,raw,1000,267,0.287,0.45,0.488,0.526,0.596,0.812,0.918,0.3891,
2026-02-28 03:33:39,money-heist,tfidf,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,21,title_full,article,anchor_sentence,raw,1000,267,0.484,0.488,0.488,0.488,0.488,0.488,0.488,0.4858,
2026-02-28 03:33:39,money-heist,tfidf,,retrieval,22,title_full,article,anchor_sentence,raw,1000,267,0.095,0.173,0.201,0.294,0.378,0.609,0.768,0.1622,
2026-02-28 03:33:39,money-heist,tfidf,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,22,title_full,article,anchor_sentence,raw,1000,267,0.157,0.198,0.201,0.201,0.201,0.201,0.201,0.1745,
2026-02-28 03:33:40,money-heist,tfidf,,retrieval,23,title_full,article,anchor_sentence,raw,1000,267,0.097,0.169,0.195,0.301,0.37,0.611,0.776,0.1634,
2026-02-28 03:33:40,money-heist,tfidf,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,23,title_full,article,anchor_sentence,raw,1000,267,0.157,0.191,0.195,0.195,0.195,0.195,0.195,0.1714,
2026-02-28 03:33:40,money-heist,tfidf,,retrieval,24,title_full,article,anchor_sentence,raw,1000,267,0.241,0.376,0.453,0.553,0.67,0.791,0.852,0.3401,
2026-02-28 03:33:40,money-heist,tfidf,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,24,title_full,article,anchor_sentence,raw,1000,267,0.441,0.453,0.453,0.453,0.453,0.453,0.453,0.4468,
2026-02-28 03:33:40,money-heist,sentence-transformers/all-mpnet-base-v2,,retrieval,1,title_full,article,anchor_sentence,raw,1000,267,0.443,0.573,0.613,0.665,0.758,0.852,0.901,0.5254,
2026-02-28 03:33:40,money-heist,sentence-transformers/all-mpnet-base-v2,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,1,title_full,article,anchor_sentence,raw,1000,267,0.35,0.541,0.613,0.613,0.613,0.613,0.613,0.4521,
2026-02-28 03:33:40,money-heist,sentence-transformers/all-mpnet-base-v2,,retrieval,2,title_full,article,anchor_sentence,raw,1000,267,0.543,0.727,0.744,0.784,0.802,0.824,0.879,0.6372,
2026-02-28 03:33:41,money-heist,sentence-transformers/all-mpnet-base-v2,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,2,title_full,article,anchor_sentence,raw,1000,267,0.584,0.735,0.744,0.744,0.744,0.744,0.744,0.6568,
2026-02-28 03:33:41,money-heist,sentence-transformers/all-mpnet-base-v2,,retrieval,3,title_full,article,anchor_sentence,raw,1000,267,0.312,0.459,0.508,0.562,0.639,0.734,0.838,0.4058,
2026-02-28 03:33:41,money-heist,sentence-transformers/all-mpnet-base-v2,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,3,title_full,article,anchor_sentence,raw,1000,267,0.238,0.455,0.508,0.508,0.508,0.508,0.508,0.345,
2026-02-28 03:33:41,money-heist,sentence-transformers/all-mpnet-base-v2,,retrieval,4,title_full,article,anchor_sentence,raw,1000,267,0.591,0.678,0.713,0.755,0.807,0.867,0.905,0.6513,
2026-02-28 03:33:41,money-heist,sentence-transformers/all-mpnet-base-v2,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,4,title_full,article,anchor_sentence,raw,1000,267,0.436,0.621,0.713,0.713,0.713,0.713,0.713,0.539,
2026-02-28 03:33:42,money-heist,sentence-transformers/all-mpnet-base-v2,,retrieval,5,title_full,article,anchor_sentence,raw,1000,267,0.534,0.714,0.751,0.777,0.821,0.851,0.89,0.6291,
2026-02-28 03:33:42,money-heist,sentence-transformers/all-mpnet-base-v2,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,5,title_full,article,anchor_sentence,raw,1000,267,0.59,0.741,0.751,0.751,0.751,0.751,0.751,0.6612,
2026-02-28 03:33:42,money-heist,sentence-transformers/all-mpnet-base-v2,,retrieval,6,title_full,article,anchor_sentence,raw,1000,267,0.474,0.621,0.698,0.74,0.771,0.888,0.956,0.5658,
2026-02-28 03:33:42,money-heist,sentence-transformers/all-mpnet-base-v2,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,6,title_full,article,anchor_sentence,raw,1000,267,0.565,0.697,0.698,0.698,0.698,0.698,0.698,0.6294,
2026-02-28 03:33:42,money-heist,sentence-transformers/all-mpnet-base-v2,,retrieval,7,title_full,article,anchor_sentence,raw,1000,267,0.535,0.702,0.743,0.774,0.815,0.844,0.92,0.6307,
2026-02-28 03:33:42,money-heist,sentence-transformers/all-mpnet-base-v2,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,7,title_full,article,anchor_sentence,raw,1000,267,0.564,0.733,0.743,0.743,0.743,0.743,0.743,0.6457,
2026-02-28 03:33:43,money-heist,sentence-transformers/all-mpnet-base-v2,,retrieval,8,title_full,article,anchor_sentence,raw,1000,267,0.503,0.695,0.731,0.752,0.797,0.857,0.954,0.6089,
2026-02-28 03:33:43,money-heist,sentence-transformers/all-mpnet-base-v2,cross-encoder/ms-marco-MiniLM-L-6-v2,reranking,8,title_full,article,anchor_sentence,raw,1000,267,0.55,0.721,0.731,0.731,0.731,0.731,0.731,0.634,
2026-02-28 03:33:43,money-heist,sentence-transformers/all-mpnet-base-v2,,retrieval,9,title_full,article,anchor_sentence,raw,1000,267,0.536,0.713,0.741,0.775,0.795,0.837,0.899,0.6273,
